Id,Collaborative,DistinctArtists
995488,false,8
233001,false,22
339715,false,30
300842,false,52
986789,false,39
197923,false,25
385908,false,47
588189,false,8
506445,false,35
811322,false,83
682149,false,15
680843,false,61
886220,false,9
871436,false,23
536849,false,38
820693,false,5
33471,false,71
23614,true,28
202017,true,36
130579,false,28
158574,false,39
99829,false,21
657820,false,11
238358,false,40
802913,false,29
372801,false,13
284112,false,54
930431,false,25
169713,false,58
995359,false,16
284548,false,34
118846,false,32
427241,true,5
201040,false,7
474036,false,19
580947,false,34
574890,false,8
949342,false,26
251615,false,5
168603,false,20
131059,false,22
476555,false,9
405125,false,31
920717,false,49
11771,false,16
583440,false,23
850709,false,6
480583,false,22
370360,false,10
342967,false,35
149930,false,75
482579,false,30
681792,false,6
606168,false,9
101679,false,8
170755,false,37
783441,false,39
952314,false,14
952442,false,63
637778,false,43
109594,false,25
360804,false,24
800559,true,31
85942,false,12
29577,false,20
169696,false,10
860784,false,27
61390,false,13
56169,false,11
426444,false,13
902149,false,12
706214,false,4
567380,false,71
506614,false,15
790421,false,14
850225,false,23
258919,true,62
821696,false,23
995213,false,12
666372,true,21
122538,false,14
271452,false,23
735011,false,39
567575,false,13
131472,false,20
808997,false,67
637293,false,85
580510,false,16
436879,false,40
689637,false,18
173152,false,7
859079,false,30
201274,true,48
50032,false,10
574278,false,18
930147,false,17
656643,false,18
169760,false,20
506088,false,14
634190,true,19
456648,false,25
838517,false,19
829838,false,13
657760,false,14
268255,false,40
56942,false,25
213134,false,6
296719,false,11
23044,false,11
162093,false,25
707420,false,31
208065,false,44
978168,false,19
243399,false,53
352561,false,10
782703,false,64
263318,false,15
87645,false,11
887867,false,48
789498,false,15
605917,false,53
80786,false,9
74932,false,6
758884,false,29
909475,false,65
939077,false,11
810607,false,16
861764,false,63
853702,false,52
333742,true,65
302156,false,29
959630,false,3
766437,false,22
203015,false,3
930228,false,34
23408,false,43
352365,false,22
681076,false,48
20303,false,28
68448,false,10
637414,false,54
498862,false,5
656975,false,36
505111,false,40
829616,false,57
384093,false,37
25122,false,20
333208,false,57
959574,false,13
851293,false,75
978131,false,3
566252,false,17
263713,false,4
263448,false,7
64599,false,63
348307,false,41
606962,false,10
665719,false,12
303067,false,21
197957,false,13
690883,false,21
141346,false,14
505797,false,13
87299,false,26
319860,false,31
789651,true,8
851853,false,25
656573,false,13
588717,false,23
109799,false,26
994664,true,116
350278,false,46
909169,false,9
95116,false,35
387581,false,16
581084,false,13
208511,false,8
682104,false,44
599051,false,7
259320,false,27
644654,false,19
851804,false,8
330162,false,40
775840,false,24
736308,false,53
833627,false,14
852314,false,40
699384,false,23
908476,false,21
444481,false,15
301378,false,23
683981,false,29
369562,false,16
896666,false,10
194910,false,24
681324,false,4
466836,false,20
952557,false,27
162240,false,4
515033,false,25
284100,false,11
506825,false,8
801150,false,36
952959,false,59
169228,false,28
252601,false,15
483963,true,6
39957,false,13
187096,false,35
195509,false,27
736138,false,27
735815,false,50
118752,false,7
208706,false,31
272734,false,13
100849,false,5
338814,false,54
800948,false,62
4692,false,7
644851,false,47
627761,false,28
302222,false,29
930317,false,12
755521,false,28
269177,false,19
714008,false,16
465327,false,65
698672,false,39
187136,false,16
205466,true,27
378318,false,5
755556,false,55
285211,false,37
913592,false,12
168564,true,33
902111,false,32
53414,false,36
534602,false,41
574602,true,22
102588,false,40
852650,false,22
656163,true,18
85636,false,14
581720,false,26
387358,false,30
29937,false,10
789237,false,59
232352,false,28
260800,false,7
100883,false,12
118804,false,33
447769,false,31
688840,false,8
405952,false,44
912284,false,22
757276,false,27
59067,false,66
871439,false,52
606738,false,29
961024,false,40
504419,false,21
567228,false,35
776378,false,7
546344,false,40
457522,false,37
716612,false,14
108514,false,42
604000,false,32
606096,false,5
309907,false,36
565511,false,34
40309,false,15
304344,false,8
211534,false,26
195919,false,15
405164,false,22
426203,false,22
203577,false,9
407880,false,28
655448,false,53
86307,false,27
591465,true,12
798236,false,40
734785,false,5
221316,false,18
168087,false,84
838135,false,32
480744,false,19
997377,false,39
791422,false,54
359918,true,78
108239,false,19
688631,false,30
634027,false,3
995316,false,10
159886,false,12
680243,false,17
444318,false,19
385254,false,11
218080,false,13
171812,false,11
152017,true,13
455533,false,34
465698,false,22
445127,false,21
296490,false,30
754456,true,27
130004,false,17
358487,false,9
363822,false,95
